,address,comment_num,detail,detail_url,image_num,indoor_floor,lat,lng,name,overall_rating,price,street_id,tag,telephone,type,uid
0,上海市浦东新区Ｓ２２１,,1,http://api.map.baidu.com/place/detail?uid=c879fa017daf7d49c909f00a&output=html&source=placeapi_v2,2,,31.309834950641,121.68105799538,东川公路赵家沟桥,0,,c879fa017daf7d49c909f00a,交通设施;桥,,life,c879fa017daf7d49c909f00a
0,上海市浦东新区胡家路,,1,http://api.map.baidu.com/place/detail?uid=56e677e501967bde0c0a7093&output=html&source=placeapi_v2,1,,31.302755,121.671932,牛路/胡家路(路口),,,56e677e501967bde0c0a7093,交通设施;其他,,life,56e677e501967bde0c0a7093
0,上海市浦东新区港建路,,1,http://api.map.baidu.com/place/detail?uid=ac4419784c10254f88f15d29&output=html&source=placeapi_v2,1,,31.315351,121.68235,庙车公路/港建路(路口),,,ac4419784c10254f88f15d29,交通设施;其他,,life,ac4419784c10254f88f15d29
0,上海市浦东新区,,1,http://api.map.baidu.com/place/detail?uid=a12baa408a130055e856fa0a&output=html&source=placeapi_v2,5,,31.302108622508,121.64828490885,顾高路高桥港桥,,,a12baa408a130055e856fa0a,交通设施;桥,,life,a12baa408a130055e856fa0a
0,上海市浦东新区双盘宅11号,,1,http://api.map.baidu.com/place/detail?uid=dea8b25b113e7dfeab0dd876&output=html&source=placeapi_v2,1,,31.297322449723,121.66187197822,顾明路2号桥,,,dea8b25b113e7dfeab0dd876,交通设施;桥,,life,dea8b25b113e7dfeab0dd876
0,上海市浦东新区金钻路,,1,http://api.map.baidu.com/place/detail?uid=fc85c4969edf4a386c47609a&output=html&source=placeapi_v2,1,,31.297267,121.675207,海纳路与金钻路交叉口,,,fc85c4969edf4a386c47609a,交通设施;其他,,life,fc85c4969edf4a386c47609a
0,上海市浦东新区联合河桥,,1,http://api.map.baidu.com/place/detail?uid=7b1ab7f302497fd004026f3e&output=html&source=placeapi_v2,1,,31.311704,121.67367,高东收费站,,,,交通设施;收费站,,life,7b1ab7f302497fd004026f3e
0,上海市浦东新区机场镇纬一路100号上海浦东国际机场T2航站楼F2,,1,http://api.map.baidu.com/place/detail?uid=ad60174e12e9b9aa7ab55c2f&output=html&source=placeapi_v2,1,F2,31.158347,121.816445,值机柜台TR232,0,,,生活服务;其他,,life,ad60174e12e9b9aa7ab55c2f
0,上海市浦东新区机场镇纬一路100号上海浦东国际机场T2航站楼F2,,1,http://api.map.baidu.com/place/detail?uid=aa4ed1a5669edec9afee7a8a&output=html&source=placeapi_v2,1,F2,31.158284,121.816516,值机柜台TR214,0,,,生活服务;其他,,life,aa4ed1a5669edec9afee7a8a
0,上海市浦东新区机场镇纬一路100号上海浦东国际机场T2航站楼F2,,1,http://api.map.baidu.com/place/detail?uid=7ab97cf57fecc6d716c90566&output=html&source=placeapi_v2,1,F2,31.158279,121.816495,值机柜台TR213,0,,,生活服务;其他,,life,7ab97cf57fecc6d716c90566
0,上海市浦东新区机场镇纬一路100号上海浦东国际机场T2航站楼F2,,1,http://api.map.baidu.com/place/detail?uid=4834b102bcc16732100daa46&output=html&source=placeapi_v2,1,F2,31.158302,121.816581,值机柜台TR217,0,,,生活服务;其他,,life,4834b102bcc16732100daa46
0,上海市浦东新区机场镇纬一路100号上海浦东国际机场T2航站楼F2,,1,http://api.map.baidu.com/place/detail?uid=8cdeca3e4f951a2840e192cd&output=html&source=placeapi_v2,2,F2,31.157633,121.817273,73号头等舱候机区,,,8cdeca3e4f951a2840e192cd,生活服务;其他,,life,8cdeca3e4f951a2840e192cd
